epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,8818.9,0.87992,0.85873,1.26752,0.77796,0.66816,0.75131,0.54207,1.0173,0.98637,1.33631,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,8914.72,0.86701,0.8287,1.255,0.77887,0.66736,0.75136,0.54213,1.0172,0.9856,1.33601,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,9009.13,0.85909,0.81437,1.24866,0.77952,0.66783,0.7517,0.54233,1.01703,0.98482,1.33575,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,9105.67,0.85816,0.81297,1.25006,0.77753,0.66933,0.75187,0.54269,1.01696,0.98405,1.33555,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,9202.94,0.85432,0.80438,1.24662,0.77951,0.6674,0.75194,0.54256,1.01675,0.98325,1.33528,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,9299.75,0.8563,0.80712,1.24812,0.77857,0.66806,0.75199,0.54275,1.01652,0.98243,1.33493,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,9396.57,0.85179,0.8026,1.2439,0.77664,0.67016,0.75232,0.54279,1.0164,0.98173,1.33476,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,9493.4,0.84907,0.79918,1.24002,0.77594,0.67112,0.75241,0.543,1.01615,0.98127,1.33436,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,9587.13,0.84682,0.79111,1.24191,0.77495,0.67337,0.7527,0.54322,1.01619,0.98064,1.3344,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,9684.18,0.84412,0.79192,1.23918,0.77359,0.67434,0.75291,0.54298,1.01636,0.98012,1.33447,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
